Name,Email,Role,App access,Groups,Date added
Alex Brooks,alex.brooks@ext-f34ab7.com,User,Designer,members Bootcamp_US_June_2025 PartnerTwo,2025-06-27T15:51:39.438Z
Alex Cooper,alex.cooper@ext-73c6f0.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T09:22:04.542Z
Alex Cooper,alex.cooper@ext-80929f.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:15:44.069Z
Alex Brooks,alex.brooks@snaplogic.com,Environment admin,Designer,members admins,2025-09-02T20:54:34.821Z
Alex Cooper,alex.cooper@snaplogic.com,Environment admin,Designer,members admins,2023-05-02T22:55:41.744Z
Alex Foster,alex.foster@ext-73c6f0.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:23.645Z
Alex Garcia,alex.garcia@ext-0a199e.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:18:58.144Z
Alex Grant,alex.grant@ext-2c0c28.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:10:04.422Z
Alex Lopez,alex.lopez@ext-680c47.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:07:51.160Z
Alex Miller,alex.miller@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:02:32.800Z
Alex Nguyen,alex.nguyen@ext-eda065.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T17:42:38.758Z
Alex Quinn,alex.quinn@ext-9a0743.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:15:57.069Z
Alex Reyes,alex.reyes@ext-721234.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:07:49.744Z
Alex Shah,alex.shah@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorTraining,2024-10-03T13:01:14.346Z
Alex Singh,alex.singh@ext-f831a9.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2026-01-11T22:26:48.415Z
Alex Iyer,alex.iyer@snaplogic.com,Environment admin,Designer,members admins,2025-05-15T23:57:44.117Z
Alex Torres,alex.torres@ext-b05b7f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2024-09-17T11:29:28.569Z
Alex Utley,alex.utley@ext-7e0fff.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:45.659Z
